clock,k_pcs,model_type,alpha,r2_test,mae_test,medae_test,n_train,n_test
PCA-ridge (K=10),10,ridge,1000.0,0.8174161418253778,4.98417362996921,3.978604921209836,1533,384
PCA-ridge (K=20),20,ridge,1000.0,0.8289700544655394,4.714823752453037,3.5500973284207653,1533,384
PCA-ridge (K=30),30,ridge,1000.0,0.8330697804408782,4.590105479127559,3.454560921673771,1533,384
PCA-ridge (K=40),40,ridge,1000.0,0.8366931721042224,4.525816168215888,3.4305365578592344,1533,384
PCA-ridge (K=50),50,ridge,1000.0,0.8372924821357501,4.517032570560605,3.453465634306344,1533,384
PCA-ridge (K=60),60,ridge,1000.0,0.8403240782342343,4.437887800011468,3.2657727963965364,1533,384
PCA-ridge (K=70),70,ridge,1000.0,0.839203840062097,4.461402315940721,3.2602451700327464,1533,384
PCA-ridge (K=80),80,ridge,1000.0,0.8387116514089733,4.448954843987905,3.2623741468284813,1533,384
PCA-ridge (K=90),90,ridge,1000.0,0.8387935801157906,4.448180655980225,3.3097068293000937,1533,384
PCA-ridge (K=100),100,ridge,1000.0,0.8386055555829841,4.444365002073327,3.3167468180381583,1533,384
