clock,k_pcs,model_type,alpha,r2_test,mae_test,medae_test,n_train,n_test
PCA-network-ridge (K=10),10,ridge,1000.0,0.8129365556601718,5.076305043333954,4.0460797453440485,1533,384
PCA-network-ridge (K=20),20,ridge,1000.0,0.8254738457846472,4.797359947565551,3.7532997669980315,1533,384
PCA-network-ridge (K=30),30,ridge,1000.0,0.8327939071430562,4.614950495497343,3.373040208580232,1533,384
PCA-network-ridge (K=40),40,ridge,1000.0,0.8329536538814752,4.5993885009811,3.2204744502069005,1533,384
PCA-network-ridge (K=50),50,ridge,1000.0,0.8361902408449897,4.532074164313603,3.2958461185033876,1533,384
PCA-network-ridge (K=60),60,ridge,1000.0,0.8399563228536054,4.447762089034604,3.120127339841858,1533,384
PCA-network-ridge (K=70),70,ridge,1000.0,0.8403379294364813,4.446401576982269,3.099239263540433,1533,384
PCA-network-ridge (K=80),80,ridge,1000.0,0.8408175009496324,4.440192264759283,3.083715621805057,1533,384
PCA-network-ridge (K=90),90,ridge,1000.0,0.8393459409775076,4.446598482381332,3.088470638925518,1533,384
PCA-network-ridge (K=100),100,ridge,1000.0,0.8394436098431983,4.4473086457947515,3.2352257833482305,1533,384
