Dataset,Platform,n_samples,age_min,age_max,n_control,n_sick,disease_groups
GSE87571,450K,664,18,94,664,0,Control (664)
GSE51032,450K,424,34,72,424,0,Control (424)
GSE125105,450K,210,19,79,210,0,Control (210)
GSE42861,450K,209,22,70,209,0,Control (209)
GSE61496,450K,150,30,74,150,0,Control (150)
GSE59065,450K,97,22,84,97,0,Control (97)
GSE87648,450K,73,20,70,73,0,Control (73)
GSE81961,450K,25,21,42,25,0,Control (25)
E-MTAB-4931,450K,24,22,59,24,0,Control (24)
GSE99624,450K,16,49,82,16,0,Control (16)
GSE87640,450K,13,24,58,13,0,Control (13)
GSE107737,450K,12,18,29,12,0,Control (12)
