module_id,cpg,strategy,module_size
1,cg00006081,median,2252
1,cg00012522,median,2252
1,cg00018845,median,2252
1,cg00024086,median,2252
1,cg00027083,median,2252
1,cg00030047,median,2252
1,cg00037441,median,2252
1,cg00065905,median,2252
1,cg00078318,median,2252
1,cg00089091,median,2252
1,cg00094518,median,2252
1,cg00100800,median,2252
1,cg00107187,median,2252
1,cg00107772,median,2252
1,cg00123055,median,2252
1,cg00127167,median,2252
1,cg00144186,median,2252
1,cg00145253,median,2252
1,cg00154357,median,2252
1,cg00157668,median,2252
1,cg00174428,median,2252
1,cg00177388,median,2252
1,cg00178249,median,2252
1,cg00181834,median,2252
1,cg00214791,median,2252
1,cg00228017,median,2252
1,cg00232735,median,2252
1,cg00247557,median,2252
1,cg00254886,median,2252
1,cg00255368,median,2252
1,cg00260802,median,2252
1,cg00295572,median,2252
1,cg00310215,median,2252
1,cg00323305,median,2252
1,cg00333226,median,2252
1,cg00343312,median,2252
1,cg00345443,median,2252
1,cg00346208,median,2252
1,cg00373707,median,2252
1,cg00376544,median,2252
1,cg00384539,median,2252
1,cg00388812,median,2252
1,cg00390775,median,2252
1,cg00421139,median,2252
1,cg00466334,median,2252
1,cg00468146,median,2252
1,cg00469856,median,2252
1,cg00470955,median,2252
1,cg00474746,median,2252
1,cg00490655,median,2252
1,cg00495775,median,2252
1,cg00503383,median,2252
1,cg00529958,median,2252
1,cg00558156,median,2252
1,cg00565688,median,2252
1,cg00569447,median,2252
1,cg00578032,median,2252
1,cg00579520,median,2252
1,cg00582971,median,2252
1,cg00619126,median,2252
1,cg00620733,median,2252
1,cg00637687,median,2252
1,cg00642749,median,2252
1,cg00644823,median,2252
1,cg00654888,median,2252
1,cg00663972,median,2252
1,cg00674365,median,2252
1,cg00688962,median,2252
1,cg00688963,median,2252
1,cg00699993,median,2252
1,cg00735667,median,2252
1,cg00736523,median,2252
1,cg00741624,median,2252
1,cg00745389,median,2252
1,cg00745725,median,2252
1,cg00750523,median,2252
1,cg00764612,median,2252
1,cg00794881,median,2252
1,cg00800512,median,2252
1,cg00804628,median,2252
1,cg00812438,median,2252
1,cg00812833,median,2252
1,cg00824018,median,2252
1,cg00824767,median,2252
1,cg00858840,median,2252
1,cg00873050,median,2252
1,cg00875989,median,2252
1,cg00884093,median,2252
1,cg00887814,median,2252
1,cg00910882,median,2252
1,cg00911794,median,2252
1,cg00912625,median,2252
1,cg00922781,median,2252
1,cg00939495,median,2252
1,cg00950846,median,2252
1,cg00952322,median,2252
1,cg00960305,median,2252
1,cg00960552,median,2252
1,cg00970396,median,2252
1,cg00998438,median,2252
1,cg01003961,median,2252
1,cg01007828,median,2252
